scenario_group_id,split,row_count
SG-00951,train,8
SG-00952,train,8
SG-00954,train,6
SG-00955,train,7
SG-00956,train,6
SG-00957,train,6
SG-00958,train,7
SG-00959,train,5
SG-00960,train,6
SG-00961,train,8
SG-00965,train,6
SG-00966,train,6
SG-00968,train,5
SG-00969,train,6
SG-00970,train,8
SG-00971,train,3
SG-00972,train,6
SG-00973,train,8
SG-00974,train,2
SG-00975,train,4
SG-00976,train,4
SG-00977,train,8
SG-00978,train,6
SG-00980,train,6
SG-00981,train,7
SG-00982,train,2
SG-00983,train,3
SG-00984,train,5
SG-00986,train,8
SG-00992,train,7
SG-00993,train,7
SG-00994,train,7
SG-00998,train,2
SG-01000,train,3
SG-01002,train,6
SG-01004,train,3
SG-01005,train,5
SG-01006,train,3
SG-01010,train,2
SG-01011,train,6
SG-01012,train,6
SG-01013,train,5
SG-01015,train,6
SG-01017,train,5
SG-01018,train,3
SG-01019,train,5
SG-01021,train,8
SG-01022,train,7
SG-01025,train,3
SG-01026,train,3
SG-01027,train,8
SG-01028,train,6
SG-01030,train,6
SG-01031,train,5
SG-01032,train,3
SG-01034,train,3
SG-01035,train,2
SG-01036,train,8
SG-01037,train,4
SG-01038,train,6
SG-01039,train,5
SG-01041,train,8
SG-01044,train,6
SG-01045,train,7
SG-01046,train,4
SG-01048,train,2
SG-01049,train,7
SG-01050,train,3
SG-01053,train,4
SG-01054,train,7
SG-01055,train,7
SG-01060,train,8
SG-01061,train,2
SG-01062,train,5
SG-01063,train,7
SG-01064,train,2
SG-01067,train,6
SG-01068,train,8
SG-01070,train,5
SG-01071,train,7
SG-01072,train,4
SG-01073,train,8
SG-01074,train,6
SG-01076,train,7
SG-01077,train,6
SG-01078,train,2
SG-01079,train,5
SG-01080,train,5
SG-01081,train,2
SG-01084,train,8
SG-01085,train,4
SG-01086,train,6
SG-01089,train,6
SG-01091,train,7
SG-01092,train,3
SG-01094,train,3
SG-01097,train,8
SG-01098,train,4
SG-01099,train,3
SG-01101,train,3
SG-01102,train,5
SG-01103,train,6
SG-01104,train,7
SG-01105,train,7
SG-01107,train,5
SG-01108,train,6
SG-01109,train,6
SG-01110,train,2
SG-01111,train,3
SG-01112,train,6
SG-01113,train,5
SG-01114,train,5
SG-01116,train,8
SG-01117,train,4
SG-01119,train,5
SG-01121,train,2
SG-01122,train,4
SG-01123,train,8
SG-01125,train,3
SG-01126,train,5
SG-01127,train,2
SG-01129,train,2
SG-01130,train,8
SG-01131,train,3
SG-01133,train,8
SG-01134,train,4
SG-01135,train,6
SG-01136,train,5
SG-01139,train,7
SG-01140,train,8
SG-01141,train,5
SG-01142,train,5
SG-01143,train,3
SG-01145,train,2
SG-01146,train,8
SG-01148,train,6
SG-01149,train,8
SG-01150,train,3
SG-01151,train,2
SG-01152,train,6
SG-01153,train,8
SG-01154,train,2
SG-01155,train,8
SG-01156,train,3
SG-01157,train,2
SG-01158,train,6
SG-01160,train,7
SG-01161,train,6
SG-01163,train,4
SG-01164,train,7
SG-01165,train,3
SG-01166,train,8
SG-01167,train,2
SG-01168,train,4
SG-01170,train,7
SG-01171,train,6
SG-01172,train,6
SG-01173,train,8
SG-01175,train,5
SG-01176,train,3
SG-01177,train,6
SG-01178,train,4
SG-01179,train,2
SG-01181,train,2
SG-01184,train,6
SG-01185,train,8
SG-01186,train,4
SG-01188,train,2
SG-01189,train,2
SG-01190,train,4
SG-01191,train,5
SG-01192,train,3
SG-01196,train,8
SG-01198,train,2
SG-01203,train,8
SG-01204,train,2
SG-01205,train,5
SG-01206,train,6
SG-01208,train,4
SG-01209,train,5
SG-01210,train,3
SG-01213,train,7
SG-01214,train,7
SG-01216,train,5
SG-01217,train,3
SG-01218,train,3
SG-01219,train,3
SG-01221,train,4
SG-01222,train,8
SG-01223,train,6
SG-01224,train,6
SG-01225,train,5
SG-01227,train,7
SG-01228,train,8
SG-01231,train,3
SG-01232,train,8
SG-01235,train,5
SG-01236,train,6
SG-01237,train,5
SG-01238,train,6
SG-01242,train,3
SG-01243,train,4
SG-01244,train,7
SG-01245,train,3
SG-01247,train,3
SG-01248,train,6
SG-01249,train,6
SG-01251,train,3
SG-01252,train,4
SG-01255,train,7
SG-01256,train,8
SG-01257,train,4
SG-01258,train,8
SG-01259,train,4
SG-01261,train,4
SG-01262,train,2
SG-01263,train,5
SG-01264,train,8
SG-01265,train,8
SG-01266,train,7
SG-01267,train,5
SG-01268,train,7
SG-01269,train,6
SG-01270,train,6
SG-01271,train,3
SG-01272,train,4
SG-01273,train,5
SG-01274,train,7
SG-01275,train,8
SG-01277,train,8
SG-01278,train,8
SG-01284,train,5
SG-01285,train,3
SG-01286,train,5
SG-01289,train,4
SG-01290,train,7
SG-01291,train,6
SG-01292,train,8
SG-01293,train,8
SG-01294,train,8
SG-01296,train,3
SG-01298,train,5
SG-01301,train,4
SG-01302,train,5
SG-01303,train,3
SG-01304,train,3
SG-01305,train,8
SG-01306,train,5
SG-01307,train,3
SG-01310,train,5
SG-01314,train,5
SG-01315,train,5
SG-01319,train,5
SG-01320,train,2
SG-01321,train,7
SG-01322,train,2
SG-01324,train,6
SG-01326,train,6
SG-01327,train,5
SG-01328,train,8
SG-01329,train,7
SG-01330,train,5
SG-01331,train,3
SG-01332,train,6
SG-01333,train,3
SG-01334,train,4
SG-01335,train,8
SG-01336,train,6
SG-01337,train,6
SG-01338,train,2
SG-01339,train,2
SG-01340,train,6
SG-01341,train,8
SG-01342,train,2
SG-01345,train,3
SG-01346,train,8
SG-01347,train,6
SG-01349,train,8
SG-01351,train,4
SG-01353,train,4
SG-01355,train,5
SG-01356,train,6
SG-01358,train,6
SG-01360,train,6
SG-01361,train,5
SG-01362,train,7
SG-01365,train,6
SG-01367,train,6
SG-01368,train,3
SG-01369,train,8
SG-01370,train,4
SG-01371,train,7
SG-01373,train,3
SG-01374,train,3
SG-01375,train,2
SG-01376,train,4
SG-01377,train,3
SG-01379,train,6
SG-01381,train,3
SG-01383,train,8
SG-01385,train,2
SG-01386,train,3
SG-01387,train,6
SG-01388,train,7
SG-01389,train,5
SG-01390,train,2
SG-01391,train,4
SG-01392,train,6
SG-01393,train,3
SG-01396,train,3
SG-01398,train,3
SG-01399,train,4
SG-01400,train,7
SG-01401,train,5
SG-01402,train,7
SG-01404,train,3
SG-01405,train,4
SG-01406,train,4
SG-01408,train,2
SG-01412,train,2
SG-01413,train,2
SG-01415,train,6
SG-01416,train,6
SG-01417,train,4
SG-01419,train,5
SG-01420,train,5
SG-01422,train,4
SG-01423,train,8
SG-01424,train,2
SG-01426,train,5
SG-01427,train,8
SG-01428,train,4
SG-01429,train,6
SG-01430,train,7
SG-01431,train,7
SG-01432,train,8
SG-01433,train,7
SG-01434,train,8
SG-01436,train,2
SG-01437,train,4
SG-01438,train,4
SG-01439,train,6
SG-01441,train,3
SG-01442,train,5
SG-01444,train,4
SG-01445,train,3
SG-01446,train,7
SG-01448,train,4
SG-01450,train,7
SG-01451,train,2
SG-01452,train,6
SG-01453,train,8
SG-01454,train,4
SG-01455,train,2
SG-01456,train,2
SG-01457,train,7
SG-01458,train,4
SG-01459,train,6
SG-01460,train,2
SG-01461,train,4
SG-01462,train,3
SG-01463,train,7
SG-01464,train,6
SG-01465,train,5
SG-01467,train,4
SG-01468,train,3
SG-01469,train,2
SG-01470,train,7
SG-01471,train,3
SG-01472,train,6
SG-01473,train,8
SG-01474,train,6
SG-01475,train,7
SG-01476,train,7
SG-01477,train,8
SG-01478,train,3
SG-01480,train,2
SG-01482,train,2
SG-01483,train,3
SG-01484,train,3
SG-01486,train,5
SG-01488,train,4
SG-01489,train,6
SG-01490,train,8
SG-01491,train,5
SG-01492,train,2
SG-01493,train,3
SG-01494,train,4
SG-01495,train,8
SG-01496,train,8
SG-01497,train,4
SG-01498,train,5
SG-01499,train,2
SG-01501,train,6
SG-01502,train,2
SG-01503,train,4
SG-01504,train,8
SG-01505,train,7
SG-01507,train,5
SG-01510,train,4
SG-01511,train,7
SG-01512,train,3
SG-01513,train,8
SG-01515,train,3
SG-01517,train,2
SG-01518,train,6
SG-01519,train,4
SG-01520,train,8
SG-01521,train,6
SG-01522,train,6
SG-01523,train,4
SG-01524,train,6
SG-01526,train,4
SG-01530,train,3
SG-01534,train,5
SG-01536,train,8
SG-01538,train,5
SG-01539,train,8
SG-01540,train,5
SG-01542,train,2
SG-01543,train,2
SG-01544,train,6
SG-01547,train,8
SG-01552,train,8
SG-01555,train,6
SG-01558,train,2
SG-01559,train,7
SG-01560,train,7
SG-01561,train,3
SG-01563,train,5
SG-01564,train,7
SG-01567,train,2
SG-01568,train,2
SG-01569,train,6
SG-01571,train,7
SG-01572,train,5
SG-01575,train,4
SG-01576,train,4
SG-01578,train,2
SG-01581,train,6
SG-01582,train,6
SG-01583,train,6
SG-01584,train,2
SG-01586,train,4
SG-01587,train,8
SG-01588,train,5
SG-01589,train,5
SG-01590,train,5
SG-01591,train,8
SG-01592,train,4
SG-01593,train,5
SG-01594,train,8
SG-01598,train,3
SG-01599,train,7
SG-01600,train,7
SG-01601,train,8
SG-01602,train,8
SG-01606,train,7
SG-01607,train,8
SG-01608,train,3
SG-01609,train,5
SG-01610,train,8
SG-01612,train,2
SG-01613,train,8
SG-01614,train,2
SG-01615,train,4
SG-01616,train,5
SG-01618,train,3
SG-01619,train,3
SG-01620,train,8
SG-01621,train,8
SG-01623,train,2
SG-01625,train,8
SG-01626,train,2
SG-01628,train,8
SG-01629,train,6
SG-01630,train,3
SG-01632,train,2
SG-01633,train,7
SG-01635,train,3
SG-01636,train,6
SG-01637,train,2
SG-01638,train,7
SG-01639,train,4
SG-01640,train,5
SG-01641,train,4
SG-01642,train,5
SG-01643,train,4
SG-01644,train,4
SG-01647,train,3
SG-01648,train,5
SG-01649,train,4
SG-01651,train,4
SG-01652,train,2
SG-01653,train,7
SG-01654,train,6
SG-01656,train,2
SG-01657,train,3
SG-01658,train,4
SG-01660,train,6
SG-01661,train,4
SG-01663,train,7
SG-01664,train,5
SG-01665,train,2
SG-01666,train,4
SG-01667,train,2
SG-01668,train,6
SG-01669,train,6
SG-01671,train,4
SG-01672,train,8
SG-01676,train,3
SG-01677,train,3
SG-01678,train,4
SG-01679,train,4
SG-01681,train,8
SG-01682,train,2
SG-01683,train,3
SG-01684,train,3
SG-01686,train,5
SG-01687,train,5
SG-01688,train,4
SG-01689,train,3
SG-01690,train,6
SG-01691,train,3
SG-01692,train,2
SG-01693,train,2
SG-01694,train,3
SG-01695,train,7
SG-01696,train,6
SG-01697,train,3
SG-01699,train,7
SG-01700,train,8
SG-01701,train,5
SG-01702,train,5
SG-01703,train,6
SG-01705,train,7
SG-01706,train,8
SG-01707,train,8
SG-01708,train,6
SG-01709,train,2
SG-01711,train,3
SG-01712,train,4
SG-01713,train,2
SG-01714,train,4
SG-01715,train,6
SG-01716,train,7
SG-01717,train,4
SG-01719,train,6
SG-01720,train,5
SG-01722,train,7
SG-01723,train,4
SG-01724,train,3
SG-01725,train,2
SG-01726,train,8
SG-01730,train,2
SG-01739,train,2
SG-01740,train,7
SG-01741,train,4
SG-01742,train,4
SG-01744,train,5
SG-01745,train,6
SG-01748,train,2
SG-01749,train,3
SG-01750,train,6
SG-01751,train,6
SG-01753,train,8
SG-01755,train,4
SG-01758,train,6
SG-01759,train,8
SG-01760,train,6
SG-01761,train,5
SG-01762,train,7
SG-01763,train,8
SG-01764,train,6
SG-01765,train,4
SG-01766,train,2
SG-01767,train,6
SG-01768,train,7
SG-01769,train,4
SG-01770,train,4
SG-01771,train,5
SG-01773,train,4
SG-01774,train,3
SG-01775,train,7
SG-01777,train,8
SG-01778,train,4
SG-01779,train,2
SG-01780,train,4
SG-01782,train,2
SG-01783,train,6
SG-01784,train,6
SG-01785,train,8
SG-01786,train,5
SG-01788,train,4
SG-01789,train,8
SG-01790,train,4
SG-01791,train,8
SG-01792,train,6
SG-01793,train,7
SG-01795,train,7
SG-01797,train,7
SG-01798,train,8
SG-01799,train,6
SG-01800,train,5
SG-01801,train,5
SG-01804,train,5
SG-01805,train,8
SG-01807,train,8
SG-01808,train,2
SG-01812,train,3
SG-01813,train,4
SG-01815,train,5
SG-01817,train,5
SG-01818,train,8
SG-01819,train,3
SG-01820,train,3
SG-01821,train,8
SG-01822,train,2
SG-01823,train,8
SG-01824,train,7
SG-01827,train,2
SG-01829,train,4
SG-01831,train,4
SG-01832,train,2
SG-01833,train,3
SG-01834,train,8
SG-01835,train,8
SG-01839,train,5
SG-01840,train,5
SG-01841,train,7
SG-01842,train,2
SG-01844,train,7
SG-01845,train,7
SG-01848,train,6
SG-01850,train,7
SG-01851,train,3
SG-01852,train,3
SG-01853,train,6
SG-01854,train,6
SG-01856,train,7
SG-01858,train,5
SG-01859,train,6
SG-01860,train,7
SG-01861,train,7
SG-01865,train,6
SG-01866,train,5
SG-01867,train,3
SG-01868,train,5
SG-01869,train,4
SG-01870,train,6
SG-01871,train,3
SG-01872,train,6
SG-01873,train,7
SG-01874,train,6
SG-01875,train,3
SG-01877,train,7
SG-01880,train,2
SG-01882,train,4
SG-01883,train,5
SG-01884,train,6
SG-01887,train,8
SG-01888,train,7
SG-01889,train,3
SG-01890,train,8
SG-01892,train,6
SG-01893,train,3
SG-01895,train,6
SG-01899,train,5
SG-01900,train,5
SG-01903,train,7
SG-01904,train,4
SG-01905,train,4
SG-01906,train,3
SG-01907,train,4
SG-01909,train,4
SG-01913,train,8
SG-01915,train,3
SG-01917,train,8
SG-01918,train,3
SG-01919,train,3
SG-01920,train,8
SG-01921,train,2
SG-01922,train,2
SG-01923,train,8
SG-01924,train,6
SG-01925,train,7
SG-01926,train,3
SG-01927,train,7
SG-01928,train,3
SG-01929,train,7
SG-01930,train,7
SG-01932,train,5
SG-01933,train,8
SG-01934,train,3
SG-01935,train,2
SG-01936,train,8
SG-01937,train,5
SG-01938,train,2
SG-01939,train,7
SG-01941,train,2
SG-01944,train,2
SG-01945,train,5
SG-01946,train,3
SG-01947,train,4
SG-01949,train,2
SG-01954,train,4
SG-01956,train,6
SG-01958,train,8
SG-01959,train,2
SG-01960,train,5
SG-01961,train,4
SG-01962,train,4
SG-01964,train,4
SG-01965,train,5
SG-01966,train,2
SG-01967,train,4
SG-01969,train,6
SG-01973,train,2
SG-01974,train,5
SG-01975,train,4
SG-01976,train,4
SG-01977,train,7
SG-01979,train,3
SG-01980,train,3
SG-01981,train,3
SG-01982,train,7
SG-01983,train,6
SG-01984,train,6
SG-01985,train,6
SG-01986,train,5
SG-01987,train,8
SG-01989,train,4
SG-01990,train,8
SG-01991,train,5
SG-01992,train,4
