scenario_group_id,business_profile_id,request_id,lot_id,candidate_id,source_type,product_category,product_subcategory,action_type,business_type,storage_requirement_mode,urgency_level,surplus_source,destination_type,seasonality_status,package_format,planning_quantity,remaining_shelf_life_days,remaining_safe_window_hours,remaining_commercial_window_days,unit_cost,normal_selling_price,offered_or_selling_price_per_unit,direct_action_cost,logistics_cost,handling_cost,estimated_completion_hours,active_demand_quantity,available_capacity,minimum_order_quantity,capability_resource_ratio,demand_coverage_ratio,demand_freshness_hours,distance_km,package_volume_ml,package_weight_g,simulated_rescue_outcome
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-02,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,DETERGENT,INTERNAL_REPURPOSE,SMALL_FNB,NONE,MEDIUM,CALCULATED,INTERNAL_OPERATION,IN_SEASON,PACK,118,203,401.27,45.14,73448.92,92626.43,34670.07,15856.94,0.0,23822.48,316.41,195,298,1,2.5254,1.6525,48.87,0.0,2599.53,2567.09,1
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-03,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,DETERGENT,INTERNAL_USE,SMALL_FNB,NONE,MEDIUM,CALCULATED,INTERNAL_OPERATION,IN_SEASON,PACK,118,195,315.53,119.09,75011.4,91153.85,0.0,44539.62,0.0,22336.17,267.34,72,85,1,0.7203,0.6102,87.17,0.0,1613.85,7722.4,1
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-04,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,DETERGENT,RETURN_TO_SUPPLIER,SMALL_FNB,NONE,MEDIUM,CALCULATED,SUPPLIER,IN_SEASON,PACK,118,274,538.7,32.23,53609.58,72994.8,30030.06,8963.42,12343.04,14984.57,479.46,339,130,4,1.1017,2.8729,146.93,33.33,1022.35,3110.13,0
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-05,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,DETERGENT,BUNDLE,SMALL_FNB,NONE,MEDIUM,CALCULATED,LOCAL_CUSTOMER,IN_SEASON,PACK,118,45,107.03,1.61,62637.58,111513.68,75327.49,33882.93,0.0,3045.81,8.82,141,98,1,0.8305,1.1949,85.06,0.0,3486.6,5815.35,1
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-06,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,DETERGENT,LOCAL_DISCOUNT,SMALL_FNB,NONE,MEDIUM,CALCULATED,LOCAL_CUSTOMER,IN_SEASON,PACK,118,31,97.84,4.71,17582.5,29237.94,23828.92,15047.43,0.0,12214.6,86.25,277,82,1,0.6949,2.3475,111.36,0.0,4780.34,2871.6,1
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-07,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,DETERGENT,DONATION,SMALL_FNB,NONE,MEDIUM,CALCULATED,DONATION_PARTNER,IN_SEASON,PACK,118,146,401.52,76.44,74135.06,82838.52,0.0,29802.13,72501.16,23325.58,40.84,273,100,1,0.8475,2.3136,135.13,17.06,2363.54,7849.79,1
SG-00005,BP-005,SYN-REQ-00005,SYN-LOT-00005,SYN-CAND-00005-01,SYNTHETIC_GENERATED,BABY_CARE,BABY_HYGIENE,BUNDLE,SMALL_RETAIL,AMBIENT_ALLOWED,HIGH,CALCULATED,LOCAL_CUSTOMER,POST_SEASON,PACK,200,42,625.12,19.61,34180.58,46550.53,29177.87,37300.71,0.0,20414.22,111.19,426,234,1,1.17,2.13,17.69,0.0,379.47,5948.39,1
SG-00005,BP-005,SYN-REQ-00005,SYN-LOT-00005,SYN-CAND-00005-02,SYNTHETIC_GENERATED,BABY_CARE,BABY_HYGIENE,PROMOTIONAL_BONUS,SMALL_RETAIL,AMBIENT_ALLOWED,HIGH,CALCULATED,LOCAL_CUSTOMER,POST_SEASON,PACK,200,87,107.01,80.2,13401.51,22478.35,12401.31,7680.67,0.0,2887.25,17.25,178,242,1,1.21,0.89,3.55,0.0,324.21,1754.67,1
SG-00005,BP-005,SYN-REQ-00005,SYN-LOT-00005,SYN-CAND-00005-03,SYNTHETIC_GENERATED,BABY_CARE,BABY_HYGIENE,INTERNAL_USE,SMALL_RETAIL,AMBIENT_ALLOWED,HIGH,CALCULATED,INTERNAL_OPERATION,POST_SEASON,PACK,200,189,285.84,38.84,6163.79,9330.75,0.0,42556.58,0.0,1086.88,137.25,441,468,1,2.34,2.205,30.49,0.0,1221.89,2501.38,1
SG-00005,BP-005,SYN-REQ-00005,SYN-LOT-00005,SYN-CAND-00005-04,SYNTHETIC_GENERATED,BABY_CARE,BABY_HYGIENE,BRANCH_TRANSFER,SMALL_RETAIL,AMBIENT_ALLOWED,HIGH,CALCULATED,BRANCH,POST_SEASON,PACK,200,320,271.51,63.33,46556.15,64778.23,24745.28,42178.75,8334.37,22566.33,26.67,146,517,16,2.585,0.73,164.57,37.03,4020.03,7796.98,1
SG-00005,BP-005,SYN-REQ-00005,SYN-LOT-00005,SYN-CAND-00005-05,SYNTHETIC_GENERATED,BABY_CARE,BABY_HYGIENE,DONATION,SMALL_RETAIL,AMBIENT_ALLOWED,HIGH,CALCULATED,DONATION_PARTNER,POST_SEASON,PACK,200,19,64.82,10.65,52113.7,85742.67,0.0,31978.16,29496.62,6661.58,31.91,584,529,1,2.645,2.92,23.48,18.78,2415.49,4174.72,1
SG-00006,BP-006,SYN-REQ-00006,SYN-LOT-00006,SYN-CAND-00006-01,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,CLEANER,BUNDLE,MEDIUM_RETAIL,AMBIENT_ALLOWED,MEDIUM,USER_DECLARED,LOCAL_CUSTOMER,PRE_SEASON,BOTTLE,110,335,611.57,78.66,39511.01,52545.69,36676.89,31645.88,0.0,7203.89,467.44,207,202,1,1.8364,1.8818,123.46,0.0,1051.9,6951.03,1
SG-00006,BP-006,SYN-REQ-00006,SYN-LOT-00006,SYN-CAND-00006-02,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,CLEANER,RETURN_TO_SUPPLIER,MEDIUM_RETAIL,AMBIENT_ALLOWED,MEDIUM,USER_DECLARED,SUPPLIER,PRE_SEASON,BOTTLE,110,233,523.61,11.05,69136.09,82444.79,61775.88,29684.1,60265.43,19565.6,235.83,81,254,12,2.3091,0.7364,133.58,38.38,4732.83,2541.3,1
SG-00006,BP-006,SYN-REQ-00006,SYN-LOT-00006,SYN-CAND-00006-03,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,CLEANER,PROMOTIONAL_BONUS,MEDIUM_RETAIL,AMBIENT_ALLOWED,MEDIUM,USER_DECLARED,LOCAL_CUSTOMER,PRE_SEASON,BOTTLE,110,62,408.5,35.92,48025.92,56022.24,42044.69,38196.17,0.0,19981.12,181.1,102,242,1,2.2,0.9273,82.68,0.0,3017.99,9313.05,1
SG-00006,BP-006,SYN-REQ-00006,SYN-LOT-00006,SYN-CAND-00006-04,SYNTHETIC_GENERATED,HOUSEHOLD_CLEANING,CLEANER,DONATION,MEDIUM_RETAIL,AMBIENT_ALLOWED,MEDIUM,USER_DECLARED,DONATION_PARTNER,PRE_SEASON,BOTTLE,110,191,66.8,79.29,11339.22,13402.96,0.0,44918.33,25689.19,19063.3,26.86,309,268,1,2.4364,2.8091,45.45,27.01,1852.75,3151.26,0
SG-00007,BP-007,SYN-REQ-00007,SYN-LOT-00007,SYN-CAND-00007-01,SYNTHETIC_GENERATED,READY_TO_EAT_MEAL,READY_SNACK,EXTERNAL_PARTNER,SMALL_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,CRITICAL,CALCULATED,EXTERNAL_PARTNER,IN_SEASON,TRAY,111,155,612.98,76.81,78957.26,126521.11,122510.39,22715.9,1910.4,20634.99,71.44,88,188,52,1.6937,0.7928,49.62,27.6,2319.81,4428.72,1
SG-00007,BP-007,SYN-REQ-00007,SYN-LOT-00007,SYN-CAND-00007-02,SYNTHETIC_GENERATED,READY_TO_EAT_MEAL,READY_SNACK,DONATION,SMALL_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,CRITICAL,CALCULATED,DONATION_PARTNER,IN_SEASON,TRAY,111,270,83.18,119.65,25550.34,44531.69,0.0,49955.24,8875.05,16642.12,69.54,272,245,1,2.2072,2.4505,109.22,33.56,497.68,8971.36,1
SG-00007,BP-007,SYN-REQ-00007,SYN-LOT-00007,SYN-CAND-00007-03,SYNTHETIC_GENERATED,READY_TO_EAT_MEAL,READY_SNACK,BUNDLE,SMALL_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,CRITICAL,CALCULATED,LOCAL_CUSTOMER,IN_SEASON,TRAY,111,104,560.17,21.42,4261.96,5406.72,2395.18,1808.14,0.0,135.75,444.78,135,238,1,2.1441,1.2162,8.68,0.0,3049.33,8016.8,1
SG-00007,BP-007,SYN-REQ-00007,SYN-LOT-00007,SYN-CAND-00007-04,SYNTHETIC_GENERATED,READY_TO_EAT_MEAL,READY_SNACK,LOCAL_DISCOUNT,SMALL_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,CRITICAL,CALCULATED,LOCAL_CUSTOMER,IN_SEASON,TRAY,111,245,668.3,92.88,20607.12,34920.83,13521.35,2007.56,0.0,5044.55,443.38,278,283,1,2.5495,2.5045,20.99,0.0,2547.43,7454.43,0
SG-00007,BP-007,SYN-REQ-00007,SYN-LOT-00007,SYN-CAND-00007-05,SYNTHETIC_GENERATED,READY_TO_EAT_MEAL,READY_SNACK,BRANCH_TRANSFER,SMALL_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,CRITICAL,CALCULATED,BRANCH,IN_SEASON,TRAY,111,306,529.99,23.97,51140.92,86724.77,39104.2,30815.45,5033.02,1058.76,136.69,82,253,43,2.2793,0.7387,148.54,24.66,3562.41,1739.55,0
SG-00007,BP-007,SYN-REQ-00007,SYN-LOT-00007,SYN-CAND-00007-06,SYNTHETIC_GENERATED,READY_TO_EAT_MEAL,READY_SNACK,WHOLESALE,SMALL_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,CRITICAL,CALCULATED,WHOLESALE_BUYER,IN_SEASON,TRAY,111,358,332.33,94.31,9154.24,11245.98,11099.78,28900.86,23299.35,17494.4,201.1,298,214,50,1.9279,2.6847,109.07,37.87,4705.94,1492.91,0
SG-00007,BP-007,SYN-REQ-00007,SYN-LOT-00007,SYN-CAND-00007-07,SYNTHETIC_GENERATED,READY_TO_EAT_MEAL,READY_SNACK,INTERNAL_USE,SMALL_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,CRITICAL,CALCULATED,INTERNAL_OPERATION,IN_SEASON,TRAY,111,53,343.5,7.2,41651.51,57595.71,0.0,15235.23,0.0,10697.58,22.45,319,132,1,1.1892,2.8739,102.65,0.0,3191.41,4123.99,1
SG-00008,BP-008,SYN-REQ-00008,SYN-LOT-00008,SYN-CAND-00008-01,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,BOTTLED_DRINK,INTERNAL_USE,SMALL_FNB,CHILLED_PREFERRED,CRITICAL,CALCULATED,INTERNAL_OPERATION,NOT_APPLICABLE,BOTTLE,231,174,409.09,84.54,19596.24,29408.08,0.0,15810.71,0.0,19685.81,251.99,454,492,1,2.1299,1.9654,92.26,0.0,2185.52,6263.86,1
SG-00008,BP-008,SYN-REQ-00008,SYN-LOT-00008,SYN-CAND-00008-02,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,BOTTLED_DRINK,PROMOTIONAL_BONUS,SMALL_FNB,CHILLED_PREFERRED,CRITICAL,CALCULATED,LOCAL_CUSTOMER,NOT_APPLICABLE,BOTTLE,231,204,663.48,60.93,30131.27,43958.51,36437.21,15722.53,0.0,20934.56,328.17,628,270,1,1.1688,2.7186,83.02,0.0,623.49,729.87,1
SG-00009,BP-009,SYN-REQ-00009,SYN-LOT-00009,SYN-CAND-00009-01,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,LOCAL_DISCOUNT,MEDIUM_WHOLESALER,AMBIENT_ALLOWED,CRITICAL,RULE_TRIGGERED,LOCAL_CUSTOMER,IN_SEASON,SACHET,85,88,89.69,32.75,68810.75,93623.91,42112.03,38605.24,0.0,7774.04,81.68,170,58,1,0.6824,2.0,115.53,0.0,3541.76,3884.54,1
SG-00009,BP-009,SYN-REQ-00009,SYN-LOT-00009,SYN-CAND-00009-02,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,PROMOTIONAL_BONUS,MEDIUM_WHOLESALER,AMBIENT_ALLOWED,CRITICAL,RULE_TRIGGERED,LOCAL_CUSTOMER,IN_SEASON,SACHET,85,364,379.96,20.49,51989.31,57578.16,27977.23,49456.65,0.0,13899.24,60.3,131,220,1,2.5882,1.5412,140.96,0.0,4952.09,1424.54,1
SG-00009,BP-009,SYN-REQ-00009,SYN-LOT-00009,SYN-CAND-00009-03,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,RETURN_TO_SUPPLIER,MEDIUM_WHOLESALER,AMBIENT_ALLOWED,CRITICAL,RULE_TRIGGERED,SUPPLIER,IN_SEASON,SACHET,85,305,314.59,56.85,36963.16,50816.95,20428.41,11642.61,4304.03,7301.48,45.45,203,107,16,1.2588,2.3882,82.35,36.33,2952.9,4937.97,1
SG-00009,BP-009,SYN-REQ-00009,SYN-LOT-00009,SYN-CAND-00009-04,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,BUNDLE,MEDIUM_WHOLESALER,AMBIENT_ALLOWED,CRITICAL,RULE_TRIGGERED,LOCAL_CUSTOMER,IN_SEASON,SACHET,85,312,468.79,80.75,8561.0,10877.61,9771.36,18330.42,0.0,13488.19,339.88,178,173,1,2.0353,2.0941,56.86,0.0,4230.17,4830.9,1
SG-00009,BP-009,SYN-REQ-00009,SYN-LOT-00009,SYN-CAND-00009-05,SYNTHETIC_GENERATED,CONDIMENT,SAUCE,WHOLESALE,MEDIUM_WHOLESALER,AMBIENT_ALLOWED,CRITICAL,RULE_TRIGGERED,WHOLESALE_BUYER,IN_SEASON,SACHET,85,22,480.61,13.33,61952.95,105096.98,71266.26,19927.63,8768.5,22933.44,258.49,124,114,50,1.3412,1.4588,105.98,21.49,928.66,3395.17,1
SG-00010,BP-010,SYN-REQ-00010,SYN-LOT-00010,SYN-CAND-00010-01,SYNTHETIC_GENERATED,CHILLED_DAIRY,YOGURT,RETURN_TO_SUPPLIER,MEDIUM_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,LOW,CALCULATED,SUPPLIER,IN_SEASON,PACK,174,257,345.89,91.61,51434.04,91928.06,69240.21,5705.2,65143.31,18310.34,296.88,311,401,50,2.3046,1.7874,73.93,31.39,2787.86,6544.48,1
SG-00010,BP-010,SYN-REQ-00010,SYN-LOT-00010,SYN-CAND-00010-02,SYNTHETIC_GENERATED,CHILLED_DAIRY,YOGURT,BUNDLE,MEDIUM_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,LOW,CALCULATED,LOCAL_CUSTOMER,IN_SEASON,PACK,174,352,529.37,90.25,77645.58,138923.47,74643.58,2047.35,0.0,19433.58,174.58,89,141,1,0.8103,0.5115,82.27,0.0,4928.42,4655.08,0
SG-00010,BP-010,SYN-REQ-00010,SYN-LOT-00010,SYN-CAND-00010-03,SYNTHETIC_GENERATED,CHILLED_DAIRY,YOGURT,DONATION,MEDIUM_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,LOW,CALCULATED,DONATION_PARTNER,IN_SEASON,PACK,174,28,60.66,16.0,78277.52,108657.03,0.0,18635.12,3735.83,1217.46,46.32,433,203,1,1.1667,2.4885,18.36,32.99,3392.76,7135.45,1
SG-00010,BP-010,SYN-REQ-00010,SYN-LOT-00010,SYN-CAND-00010-04,SYNTHETIC_GENERATED,CHILLED_DAIRY,YOGURT,BRANCH_TRANSFER,MEDIUM_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,LOW,CALCULATED,BRANCH,IN_SEASON,PACK,174,338,577.42,6.83,62350.21,106356.99,88340.12,33864.37,39082.57,740.18,36.91,131,358,31,2.0575,0.7529,67.43,0.68,4483.39,6719.41,1
SG-00010,BP-010,SYN-REQ-00010,SYN-LOT-00010,SYN-CAND-00010-05,SYNTHETIC_GENERATED,CHILLED_DAIRY,YOGURT,PROMOTIONAL_BONUS,MEDIUM_RETAIL,SAFETY_CRITICAL_COLD_CHAIN,LOW,CALCULATED,LOCAL_CUSTOMER,IN_SEASON,PACK,174,314,614.99,36.57,20537.35,34849.83,20080.47,13741.25,0.0,22163.94,345.09,282,260,1,1.4943,1.6207,31.52,0.0,469.82,3425.85,1
SG-00011,BP-011,SYN-REQ-00011,SYN-LOT-00011,SYN-CAND-00011-01,SYNTHETIC_GENERATED,CHILLED_DAIRY,DAIRY_DESSERT,PROMOTIONAL_BONUS,MEDIUM_FNB,SAFETY_CRITICAL_COLD_CHAIN,MEDIUM,RULE_TRIGGERED,LOCAL_CUSTOMER,PRE_SEASON,CUP,75,38,52.09,8.47,73393.3,106258.82,46466.98,31727.01,0.0,8582.31,1.37,106,94,1,1.2533,1.4133,70.62,0.0,4798.09,7522.11,0
SG-00011,BP-011,SYN-REQ-00011,SYN-LOT-00011,SYN-CAND-00011-02,SYNTHETIC_GENERATED,CHILLED_DAIRY,DAIRY_DESSERT,DONATION,MEDIUM_FNB,SAFETY_CRITICAL_COLD_CHAIN,MEDIUM,RULE_TRIGGERED,DONATION_PARTNER,PRE_SEASON,CUP,75,166,646.25,28.98,44186.82,57407.52,0.0,29537.24,55931.53,16335.98,200.08,205,208,1,2.7733,2.7333,50.3,21.42,1244.79,3231.7,1
SG-00011,BP-011,SYN-REQ-00011,SYN-LOT-00011,SYN-CAND-00011-03,SYNTHETIC_GENERATED,CHILLED_DAIRY,DAIRY_DESSERT,BUNDLE,MEDIUM_FNB,SAFETY_CRITICAL_COLD_CHAIN,MEDIUM,RULE_TRIGGERED,LOCAL_CUSTOMER,PRE_SEASON,CUP,75,23,438.0,18.24,14124.44,24181.04,12915.09,49735.09,0.0,16864.94,182.59,143,199,1,2.6533,1.9067,136.86,0.0,4517.64,7878.02,1
SG-00011,BP-011,SYN-REQ-00011,SYN-LOT-00011,SYN-CAND-00011-04,SYNTHETIC_GENERATED,CHILLED_DAIRY,DAIRY_DESSERT,LOCAL_DISCOUNT,MEDIUM_FNB,SAFETY_CRITICAL_COLD_CHAIN,MEDIUM,RULE_TRIGGERED,LOCAL_CUSTOMER,PRE_SEASON,CUP,75,174,471.49,114.69,16443.99,24559.1,10221.5,1792.14,0.0,23994.36,229.9,213,118,1,1.5733,2.84,17.3,0.0,253.34,2468.21,1
SG-00011,BP-011,SYN-REQ-00011,SYN-LOT-00011,SYN-CAND-00011-05,SYNTHETIC_GENERATED,CHILLED_DAIRY,DAIRY_DESSERT,BRANCH_TRANSFER,MEDIUM_FNB,SAFETY_CRITICAL_COLD_CHAIN,MEDIUM,RULE_TRIGGERED,BRANCH,PRE_SEASON,CUP,75,289,40.49,14.28,7111.37,10088.19,6915.45,15103.58,16319.52,9853.14,15.1,96,183,5,2.44,1.28,69.99,28.08,58.22,1129.58,1
SG-00011,BP-011,SYN-REQ-00011,SYN-LOT-00011,SYN-CAND-00011-06,SYNTHETIC_GENERATED,CHILLED_DAIRY,DAIRY_DESSERT,INTERNAL_USE,MEDIUM_FNB,SAFETY_CRITICAL_COLD_CHAIN,MEDIUM,RULE_TRIGGERED,INTERNAL_OPERATION,PRE_SEASON,CUP,75,41,354.48,14.32,69295.64,76287.57,0.0,42060.19,0.0,6508.71,141.11,133,141,1,1.88,1.7733,54.18,0.0,1250.29,4803.84,1
SG-00011,BP-011,SYN-REQ-00011,SYN-LOT-00011,SYN-CAND-00011-07,SYNTHETIC_GENERATED,CHILLED_DAIRY,DAIRY_DESSERT,EXTERNAL_PARTNER,MEDIUM_FNB,SAFETY_CRITICAL_COLD_CHAIN,MEDIUM,RULE_TRIGGERED,EXTERNAL_PARTNER,PRE_SEASON,CUP,75,285,670.16,6.78,55294.15,69659.57,39357.66,45941.16,11227.2,231.49,71.5,200,171,15,2.28,2.6667,31.64,2.37,204.85,1115.19,1
SG-00012,BP-012,SYN-REQ-00012,SYN-LOT-00012,SYN-CAND-00012-01,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,POWDERED_DRINK,RETURN_TO_SUPPLIER,MEDIUM_FNB,CHILLED_PREFERRED,HIGH,USER_DECLARED,SUPPLIER,IN_SEASON,SACHET,148,204,436.05,118.17,68728.34,87834.82,83197.14,30036.7,60141.8,5408.89,150.08,242,346,121,2.3378,1.6351,69.56,13.08,1622.3,790.3,1
SG-00012,BP-012,SYN-REQ-00012,SYN-LOT-00012,SYN-CAND-00012-02,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,POWDERED_DRINK,PROMOTIONAL_BONUS,MEDIUM_FNB,CHILLED_PREFERRED,HIGH,USER_DECLARED,LOCAL_CUSTOMER,IN_SEASON,SACHET,148,257,523.23,85.26,4327.11,5809.15,2105.24,44500.97,0.0,14845.76,367.26,135,380,1,2.5676,0.9122,21.17,0.0,761.41,6934.02,1
SG-00012,BP-012,SYN-REQ-00012,SYN-LOT-00012,SYN-CAND-00012-03,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,POWDERED_DRINK,EXTERNAL_PARTNER,MEDIUM_FNB,CHILLED_PREFERRED,HIGH,USER_DECLARED,EXTERNAL_PARTNER,IN_SEASON,SACHET,148,116,6.87,2.91,15489.63,22538.96,22419.5,26810.02,66148.14,15544.8,6.48,288,290,58,1.9595,1.9459,45.9,35.94,300.07,5949.73,1
SG-00012,BP-012,SYN-REQ-00012,SYN-LOT-00012,SYN-CAND-00012-04,SYNTHETIC_GENERATED,PACKAGED_BEVERAGE,POWDERED_DRINK,INTERNAL_USE,MEDIUM_FNB,CHILLED_PREFERRED,HIGH,USER_DECLARED,INTERNAL_OPERATION,IN_SEASON,SACHET,148,47,602.75,1.84,24990.91,39098.28,0.0,43694.42,0.0,6341.61,25.19,131,159,1,1.0743,0.8851,102.61,0.0,2790.03,3967.7,1
